,NKX1-2,TLE2,TPBG,SRSF6,DAZ4,GPR31,CD274,LYZ,PCP4,ZIC1,label
a21,0.28223340375865,-1.57740536720063,-1.45905666931573,-0.339880430355764,-0.513513205185617,0.0984806249576146,0.23778866271836,-1.27674216654274,-0.634198579343974,-0.432705718673511,1
a12,-0.701588304423177,0.491156907240872,-1.45905666931573,-0.641113271131745,-0.513513205185617,0.221427958872148,-0.676453530349173,-0.163318695175387,-0.289405278262329,-0.652200408141593,1
a66,-1.48249152655668,-1.05604715081199,-0.470394453522256,-1.57682793988714,-1.71558406388947,-1.48674133110811,-1.02538020534443,-1.27674216654274,-1.45327104594101,-1.22954095747384,1
a1,-0.14752865150308,1.95910873570805,1.31646906838752,0.813538321568268,-0.198739522841426,0.728065213750022,0.0859795534304343,-0.545939282562513,-0.0357809565141346,0.554264468894537,1
a57,0.633374570630427,-0.355703608207336,0.518267762271224,0.561656440437292,0.41357643022056,0.894106654204641,0.494083325033508,-0.421757601771371,0.596361752712721,0.912110327771729,1
a41,0.28223340375865,-0.849142446177423,-0.88072634692098,-0.921416221175648,-0.513513205185617,-0.336789506533813,-1.51716473315848,-0.259232578398425,0.804307289027871,-0.0748598597963188,1
a7,1.18743422355052,0.407380633932117,2.62340942790987,1.00096070650517,1.28336647963844,2.3661690913107,0.753125190275322,1.34315876814901,0.380651613882814,0.912110327771729,1
a9,-1.48249152655668,0.224877750874114,0.1079358688725,-0.559273007837024,-0.513513205185617,-0.928523865702148,-0.838412405589846,0.811878586963929,-0.783214153795868,-0.911807525168263,1
a34,-0.701588304423177,-1.29490110263718,-0.152116309793382,-0.821374096479872,-0.198739522841426,-0.928523865702148,-1.02538020534443,-0.421757601771371,-0.783214153795868,-1.22954095747384,1
a56,0.28223340375865,-0.849142446177423,0.97249044471735,-0.559273007837024,0.244909065338406,0.543538571403906,0.164257672460132,0.151390132668773,0.97534403866935,-0.0748598597963188,1
a4,0.930260196358718,-0.66663956311942,-0.88072634692098,-1.96518461578499,-0.957161793365449,-0.336789506533813,-0.184669002535124,-1.15256048575159,-0.634198579343974,-1.63917059570964,1
a69,0.28223340375865,-0.355703608207336,-0.470394453522256,-1.0294699470296,-0.713004356610075,-0.511585741820052,-0.290204221331057,-0.163318695175387,-0.783214153795868,-0.24257076990579,1
a18,0.633374570630427,0.57063502690244,-0.152116309793382,-0.0937552782742019,-0.198739522841426,0.894106654204641,0.23778866271836,-0.849249883791652,-0.289405278262329,0.448742349948781,1
