,CL0106,CL0107,CL0108,CL0109,CL0110,CL0111,CL0114,CL0116,CL0124,CL0125,CL0126,CL0146,CL0147,CL0191,CL0193,CL0196,NCI0422
EXOC3L4,0.120032352,0.097987934,0.152688123,3.490658029,1.172004934,0.152968729,0.028868703,0.111764897,0.203103649,0.530039797,0.100643902,0.02224219,1.216987884,0.117187687,0.004023033,0.130383459,0.335460668
EXOC4,42.89648599,11.97280519,46.60124049,28.28582655,23.36844494,30.61284191,28.10368212,36.35466305,37.06691431,50.01922777,42.84102058,44.567207,30.54579739,20.5440117,39.2052038,17.53653183,30.84997738
EXOC5,7.713036789,7.76450821,11.99696415,7.42421379,10.95218258,7.724070318,43.32946932,16.62187383,11.01364279,4.112413123,16.74334022,10.07304454,10.34313476,8.476033895,25.48771544,14.88637599,5.496646004
EXOC6,8.752599578,4.955423507,20.15875442,6.851984428,8.156375446,6.688920654,15.64354033,10.3013268,12.81048421,8.596738047,14.37065586,12.458195,31.47807389,8.734769116,20.90580408,6.053147042,7.791705184
EXOC6B,11.20787201,2.517242803,10.75765677,8.487814626,6.251451903,7.729103915,9.877444762,10.87938366,11.36252274,8.115412643,11.86107338,10.12964917,16.10643939,8.961628566,15.21154607,7.256615877,5.90960893
EXOC7,5.082690963,14.68958539,12.13223002,8.134033532,9.254973317,8.517854968,4.077403451,10.7248632,5.320261363,2.407861351,4.062192409,12.77564847,7.860947243,7.408456957,4.07384417,13.33636772,6.796558325
EXOC8,3.337959123,5.631188619,3.504180741,3.858649674,4.911061681,7.498829016,2.867160036,3.400193024,4.304772707,4.036737392,3.864994391,4.927843002,2.521465947,2.325395636,2.329722288,2.106462766,3.974927652
EXOG,1.464782866,1.498245695,1.875182208,1.031641887,0.71465145,1.518359343,1.442896165,2.407022723,2.04534511,2.354613886,2.077455227,1.193507254,1.342159605,1.745548648,1.919367159,1.045466108,1.421781144
EXOSC1,4.4785537,6.155912459,6.415676394,9.675704208,10.37797736,8.780692554,15.16262783,9.124924674,11.40454176,3.850699572,10.31221124,9.73516938,7.206162994,7.076409743,9.751005607,6.21578436,10.30766252
EXOSC10,25.79212322,5.725116778,24.05895635,16.14466943,13.79897379,12.27677867,16.35896923,19.33277031,11.2128392,17.82104465,32.79704991,23.17127343,15.63665338,19.42198396,18.93295582,21.43438848,18.97772395
EXOSC2,2.081873455,8.75672021,4.379324276,10.95633693,4.267775437,5.625095768,2.717249005,5.838237177,5.504961527,2.837825445,5.800910071,5.037807769,6.252023911,4.362187616,4.601424729,4.880921697,3.043418328
